200 黄现璠 | 近现代 1899~1982 | 文学、思想、政治 | 广西 | 壮 |  | 历史学家、民族学家、教育家。
447 唐敬宗 | 唐 809~827 | 政治 | 陕西 | 汉 | 帝 | 唐朝第14位皇帝。
448 宋光宗 | 南宋 1147~1200 | 政治 | 浙江 | 汉 |  | 宋朝第12位皇帝。
449 刘伯温 | 明 1311~1375 | 文学、军事、思想、科技、艺术、政治 | 浙江 | 汉 |  | 明代早期政治家、文学家、谋士。
450 马欢 | 明 1380~1460 | 文学、外交 | 浙江 | 汉 |  | 明时期文学、外交人物。
451 袁崇焕 | 明 1584~1630 | 军事、政治 | 广东 | 汉 |  | 中国明末军事人物、政治人物（1584－1630）。
452 吴敬梓 | 清 1701~1754 | 文学 | 安徽 | 汉 |  | 清时期文学人物。
453 萧何 | 西汉 -256~-192 | 政治 | 江苏 | 汉 |  | 西汉时期政治人物。
454 张郃 | 三国 167~231 | 军事 | 河北 | 汉 |  | 三国时期曹魏名将。
455 钟会 | 三国 225~264 | 思想、艺术、政治 | 河南 | 汉 |  | 三国政治人物。
456 陆逊 | 三国 183~245 | 政治 | 江苏 | 汉 |  | 三国时期吴国军事家、政治家（183-245）。
457 崔颢 | 唐 704~754 | 文学、政治 | 河南 | 汉 |  | 中国唐朝诗人。
458 阎立本 | 唐 600~673 | 文学、科技、艺术 | 陕西 | 汉 |  | 唐时期文学、科技人物。
459 骆宾王 | 唐 640~684 | 文学 | 山东 | 汉 |  | 唐时期文学人物。
460 唐顺宗 | 唐 761~806 | 艺术 | 陕西 | 汉 |  | 唐朝第11位皇帝。
461 唐宣宗 | 唐 810~859 | 政治 | 陕西 | 汉 | 帝 | 唐朝第17位皇帝。
462 邵雍 | 北宋 1012~1077 | 文学、思想 | 河北 | 汉 |  | 北宋时期文学人物。
463 张献忠 | 明 1606~1647 | 军事 | 陕西 | 汉 |  | 明末民变首领。
464 徐达 | 明 1332~1385 | 政治 | 安徽 | 汉 |  | 明朝开国功臣。
465 徐霞客 | 明 1587~1641 | 文学、思想、科技、外交 | 江苏 | 汉 |  | 明代著名的地理学家、旅行家和文学家。
466 僧格林沁 | 清 1811~1865 | 军事 | 内蒙古 | 汉 |  | 科尔沁博多勒噶台忠亲王。
467 太史慈 | 三国 166~206 | 军事 | 山东 | 汉 |  | 东汉末年武将。
468 郭璞 | 西晋 276~324 | 文学、思想、科技 | 山西 | 汉 |  | 西晋时期文学、思想、科技人物。
469 房玄龄 | 唐 578~648 | 文学、艺术、政治 | 山东 | 汉 |  | 隋末唐初政治人物。
470 上官婉儿 | 唐 664~710 | 文学、政治 | 河南 | 汉 |  | 唐朝女性诗人、政治家。
471 程颢 | 北宋 1032~1085 | 思想 | 湖北 | 汉 |  | 北宋时期思想人物。
472 曾巩 | 北宋 1019~1083 | 文学 | 江西 | 汉 |  | 北宋时期文学人物。
473 蔡襄 | 北宋 1012~1067 | 文学、科技、艺术、政治 | 福建 | 汉 |  | 北宋时期文学、科技、政治人物。
474 陆九渊 | 南宋 1139~1193 | 思想 | 江西 | 汉 |  | 南宋理学家 (1139-1192)。
475 周达观 | 元 1266~1346 | 文学、思想、科技、外交 | 浙江 | 汉 |  | 元时期文学、外交人物。
476 施琅 | 清 1621~1696 | 政治 | 福建 | 汉 |  | 清朝將領 (1621-1696)。
477 宋应星 | 明 1587~1666 | 文学 | 江西 | 汉 |  | 明时期文学人物。
478 弘光帝 | 清 1607~1646 | 政治 | 河南 | 汉 |  | 南明第1位皇帝。
479 魏源 | 清 1794~1857 | 文学、思想 | 湖南 | 汉 |  | 清时期文学、思想人物。
480 唐景崧 | 清 1841~1903 | 政治 | 广西 | 汉 |  | 清朝台湾末任巡抚、台湾民主国首任大总统。
481 徐晃 | 三国 169~227 | 军事 | 山西 | 汉 |  | 三国时期军事人物。
482 邓艾 | 三国 197~264 | 军事、政治 | 河南 | 汉 |  | 三国时期曹魏将领。
483 甘宁 | 三国 175~222 | 军事 | 四川 | 汉 |  | 三国时期东吴将领。
484 陆机 | 三国 261~303 | 文学 | 江苏 | 汉 |  | 西晋文学家（261-303）。
485 颜真卿 | 唐 709~785 | 文学、艺术、政治 | 陕西 | 汉 |  | 唐代政治家、书法家。
486 韦应物 | 唐 737~792 | 文学、政治 | 陕西 | 汉 |  | 唐时期文学、政治人物。
487 唐懿宗 | 唐 833~873 | 文学 | 陕西 | 汉 |  | 唐朝第18位皇帝。
488 贾似道 | 南宋 1213~1275 | 政治 | 浙江 | 汉 |  | 南宋时期政治人物。
489 牧谿 | 南宋 1210~1269 | 思想、艺术 | 四川 | 汉 |  | 南宋时期思想、艺术人物。
490 王实甫 | 元 1250~1307 | 文学 | 北京 | 汉 |  | 代杂剧（元曲）作家。
491 陈继儒 | 明 1558~1639 | 文学、艺术 | 上海 | 汉 |  | 明朝末期画家、书法家。
492 郑经 | 明 1642~1681 | 政治 | 福建 | 汉 |  | 延平王、郑成功之子。
493 郑芝龙 | 清 1604~1661 | 政治 | 福建 | 汉 |  | 明朝末将将领。
494 张鲁 | 东汉 101~216 | 军事、政治 | 江苏 | 汉 |  | 东汉末年道教人物及地方军阀。
495 京房 | 西汉 -77~-36 | 文学、科技、艺术、政治 | 河南 | 汉 |  | 西汉时期文学、科技、艺术、政治人物。
496 钟繇 | 三国 151~230 | 军事、艺术 | 河南 | 汉 |  | 三国魏书法家、政治人物 (151-230)。
497 诸葛诞 | 三国 200~258 | 政治 | 山东 | 汉 |  | 三国时期政治人物。
498 贾诩 | 三国 147~223 | 政治 | 甘肃 | 汉 |  | 三国时期政治人物。
499 欧阳询 | 唐 557~641 | 文学、艺术、政治 | 湖南 | 汉 |  | 唐时期文学、艺术、政治人物。
500 鱼玄机 | 唐 844~869 | 文学、思想 | 陕西 | 汉 |  | 唐时期文学、思想人物。
501 褚遂良 | 唐 597~659 | 文学、艺术、政治 | 浙江 | 汉 |  | 唐时期文学、艺术、政治人物。
502 吴道子 | 唐 680~740 | 艺术 | 陕西 | 汉 |  | 唐时期艺术人物。
503 岑参 | 唐 715~770 | 文学 | 河南 | 汉 |  | 中国唐代诗人（717?～769）。
504 范成大 | 北宋 1126~1193 | 文学 | 江苏 | 汉 |  | 北宋时期文学人物。
505 李成 | 北宋 919~967 | 艺术 | 山东 | 汉 |  | 五代、北宋时期画家。
506 苏洵 | 北宋 1009~1066 | 文学 | 四川 | 汉 |  | 唐宋八大家之一。
507 苏辙 | 北宋 1039~1112 | 文学、思想 | 四川 | 汉 |  | 北宋时期文学、思想人物。
508 范宽 | 北宋 956~1026 | 艺术 | 陕西 | 汉 |  | 北宋时期艺术人物。
509 王重阳 | 金 1113~1170 | 思想 | 陕西 | 汉 |  | 中国道教全真派创始人。
510 王蒙 | 元 1308~1385 | 艺术、政治 | 浙江 | 汉 |  | 元末明初画家 (1308-1385)。
511 马端临 | 元 1245~1323 | 文学、政治 | 江西 | 汉 |  | 元时期文学、政治人物。
512 魏忠贤 | 明 1568~1627 | 政治 | 河北 | 汉 |  | 明时期政治人物。
513 戴进 | 明 1388~1462 | 艺术 | 浙江 | 汉 |  | 明时期艺术人物。
514 徐渭 | 明 1521~1593 | 文学、军事、艺术 | 浙江 | 汉 |  | 明朝文学家、书画家 (1521-1593)。
515 黄宗羲 | 清 1610~1695 | 文学、思想 | 浙江 | 汉 |  | 明末清初学者、思想家 (1610-1695)。
516 郑克塽 | 清 1670~1707 | 政治 | 台湾 | 汉 |  | 延平王、郑经次子、郑成功之孙、郑芝龙曾孙。
517 张廷玉 | 清 1672~1755 | 文学、政治 | 北京 | 汉 |  | 清朝大臣（1672–1755）。
518 郑燮 | 清 1693~1766 | 文学、艺术、政治 | 江苏 | 汉 |  | 清朝画家、学者。
519 金树仁 | 清 1879~1941 | 政治 | 甘肃 | 汉 |  | 清时期政治人物。
520 龚自珍 | 清 1792~1841 | 文学、思想 | 浙江 | 汉 |  | 清朝晚期思想家、文学家、诗人。
521 李陵 | 西汉 -149~-72 | 军事 | 甘肃 | 汉 |  | 西汉时期军事人物。
522 马钧 | 三国 200~265 | 科技、政治 | 陕西 | 汉 |  | 三国时期科技、政治人物。
523 周泰 | 三国 200~228 | 军事 | 安徽 | 汉 |  | 中国三国时期东吴将领。
524 慧可 | 隋 487~593 | 思想 | 河南 | 汉 |  | 中国僧人，禅宗二祖。
525 李淳风 | 唐 602~670 | 文学、科技、政治 | 陕西 | 汉 |  | 初唐天文学家、数学家、政治家、预言家。
526 太平公主 | 唐 665~713 | 政治 | 陕西 | 汉 |  | 唐高宗李治与武则天的幼女。
527 高适 | 唐 707~765 | 文学、政治 | 河北 | 汉 |  | 中国唐朝诗人、官员（约700～765）。
528 王之涣 | 唐 688~742 | 文学、政治 | 山西 | 汉 |  | 中国唐朝诗人。
529 张九龄 | 唐 678~740 | 文学、艺术 | 广东 | 汉 |  | 中国唐代诗人。
530 鉴真 | 唐 688~763 | 思想 | 江苏 | 汉 |  | 唐时期思想人物。
531 温庭筠 | 唐 812~870 | 文学 | 山西 | 汉 |  | 唐时期文学人物。
532 马祖道一 | 唐 709~788 | 思想 | 四川 | 汉 |  | 中国僧人，洪州宗开创者。
533 唐殇帝 | 唐 698~715 | 文学 | 陕西 | 汉 |  | 唐时期文学人物。
534 黄公望 | 元 1269~1354 | 文学、艺术 | 江苏 | 汉 |  | 元时期文学、艺术人物。
535 吴镇 | 元 1280~1354 | 文学、艺术 | 浙江 | 汉 |  | 元时期文学、艺术人物。
536 宋濂 | 明 1310~1381 | 文学、思想、艺术、政治 | 浙江 | 汉 |  | 中国明朝初年思想家、文学家。
537 仇英 | 明 1494~1552 | 艺术 | 江苏 | 汉 |  | 明时期艺术人物。
538 金圣叹 | 清 1610~1661 | 文学、思想、艺术 | 江苏 | 汉 |  | 明末清初文学批评家。
539 恽寿平 | 清 1633~1690 | 文学、艺术 | 江苏 | 汉 |  | 中国清代画家。
540 许仲琳 | 明 1550~1560 | 文学 | 江苏 | 汉 |  | 明时期文学人物。
541 叶名琛 | 清 1807~1859 | 政治 | 湖北 | 汉 |  | 清时期政治人物。
542 刘鹗 | 清 1857~1909 | 文学、科技、政治 | 江苏 | 汉 |  | 清朝作家（1857—1909）。
543 汤恩伯 | 清 1899~1954 | 政治 | 浙江 | 汉 |  | 中华民国陆军二级上将。
544 李海泉 | 清 1901~1965 | 艺术 | 广东 | 汉 |  | 香港粤剧演员、武术家。
545 裕德龄 | 清 1881~1944 | 文学、政治 | 湖北 | 汉 |  | 中美混血作家，慈禧太后御前女官。
546 邹容 | 清 1885~1905 | 文学 | 四川 | 汉 |  | 清时期文学人物。
547 曹彰 | 三国 190~223 | 军事 | 安徽 | 汉 |  | 三国时期曹魏宗室。
548 支道林 | 西晋 314~366 | 思想 | 河南 | 汉 |  | 西晋时期思想人物。
549 张萱 | 唐 713~755 | 艺术 | 陕西 | 汉 |  | 唐时期艺术人物。
550 李翱 | 唐 772~841 | 文学、思想、艺术 | 甘肃 | 汉 |  | 唐时期文学、思想、艺术人物。
551 刘长卿 | 唐 726~790 | 文学、政治 | 河南 | 汉 |  | 唐时期文学、政治人物。
552 周昉 | 唐 730~810 | 艺术 | 陕西 | 汉 |  | 唐时期艺术人物。
553 赵汝适 | 南宋 1170~1231 | 文学、思想、科技、外交 | 浙江 | 汉 |  | 宋朝政治人物。
554 梅尧臣 | 北宋 1002~1060 | 文学 | 安徽 | 汉 |  | 北宋时期文学人物。
555 石敬瑭 | 北宋 892~942 | 政治 | 山西 | 汉 |  | 北宋时期政治人物。
556 陆秀夫 | 南宋 1236~1279 | 政治 | 江苏 | 汉 |  | 南宋末年政治家。
557 白朴 | 元 1226~1306 | 文学 | 山西 | 汉 |  | 中国元代杂剧作家。
558 王祯 | 元 1271~1333 | 军事、科技 | 山东 | 汉 |  | 元时期军事、科技人物。
559 陈友谅 | 元 1320~1363 | 军事 | 湖北 | 汉 |  | 元末民变领袖 大汉政权皇帝。
560 马致远 | 元 1270~1330 | 文学 | 北京 | 汉 |  | 中国元代杂剧作家。
561 柳如是 | 清 1618~1664 | 文学、艺术 | 浙江 | 汉 |  | 明末清初“秦淮八艳”之首。
562 陈淳 | 明 1483~1544 | 文学、艺术 | 江苏 | 汉 |  | 明朝画家 (1483-1544)。
563 于谦 | 明 1398~1457 | 文学、政治 | 浙江 | 汉 |  | 明时期文学、政治人物。
564 王时敏 | 清 1592~1680 | 文学、艺术、政治 | 江苏 | 汉 |  | 明末清初画家。
565 丁汝昌 | 清 1836~1895 | 军事 | 安徽 | 汉 |  | 中国清末北洋海军提督（1836－1895）。
566 王韬 | 清 1828~1897 | 文学、政治 | 江苏 | 汉 |  | 中国清朝学者（1828－1897）。
567 钱穆 | 清 1895~1990 | 文学、思想 | 江苏 | 汉 |  | 历史学家、儒学者、教育家（1895－1990）。
568 罗一秀 | 清 1889~1910 | 文学 | 湖南 | 汉 |  | 毛泽东第一任夫人。
569 满宠 | 三国 209~242 | 政治 | 山东 | 汉 |  | 三国时期曹魏官员。
570 蒋琬 | 三国 193~245 | 政治 | 湖南 | 汉 |  | 三国时期政治人物。
571 陆抗 | 三国 226~274 | 政治 | 江苏 | 汉 |  | 三国时期政治人物。
572 释道安 | 西晋 312~385 | 文学 | 河北 | 汉 |  | 西晋时期文学人物。
573 杜审言 | 唐 645~708 | 文学、艺术、政治 | 湖北 | 汉 |  | 唐时期文学、艺术、政治人物。
574 长孙皇后 | 唐 601~636 | 文学 | 陕西 | 汉 |  | 唐太宗李世民的皇后。
575 法藏 | 唐 643~713 | 思想 | 陕西 | 汉 |  | 唐代僧人，华严宗三祖。
576 云门文偃 | 唐 864~949 | 文学、思想 | 浙江 | 汉 |  | 唐时期文学、思想人物。
577 王禹偁 | 北宋 954~1001 | 文学 | 山东 | 汉 |  | 北宋时期文学人物。
578 文同 | 北宋 1018~1079 | 文学、艺术 | 四川 | 汉 |  | 中国宋朝画家。
579 徐熙 | 北宋 886~975 | 文学、艺术 | 江苏 | 汉 |  | 北宋时期文学、艺术人物。
580 李冶 | 元 1192~1279 | 思想、科技 | 北京 | 汉 |  | 中国元代数学家（1192－1279）。
581 祝允明 | 明 1461~1527 | 文学、艺术、政治 | 江苏 | 汉 |  | 明时期文学、艺术、政治人物。
582 杨慎 | 明 1488~1559 | 文学、政治 | 四川 | 汉 |  | 明代文学家（1488-1559）。
583 王翚 | 清 1632~1717 | 艺术 | 江苏 | 汉 |  | 清时期艺术人物。
584 边景昭 | 明 1355~1428 | 艺术 | 福建 | 汉 |  | 明时期艺术人物。
585 朱权 | 明 1378~1448 | 文学、艺术 | 江苏 | 汉 |  | 明朝宗室藩王。
586 黄遵宪 | 清 1848~1905 | 文学、思想、外交 | 河北 | 汉 |  | 中国近代爱国诗人、外交家、政治家、教育家及启蒙思想家（1848～1905）。
587 李善兰 | 清 1811~1882 | 文学、思想、科技、艺术 | 浙江 | 汉 |  | 清朝数学家（1810－1882）。
588 孔尚任 | 清 1648~1718 | 文学 | 山东 | 汉 |  | 清时期文学人物。
589 奕𫍽 | 清 1840~1891 | 政治 | 北京 | 汉 |  | 中国清朝皇室亲王，道光帝之子，光绪帝生父，宣统帝亲祖父。
590 何鸿燊 | 近现代 1921~2020 | 政治 | 香港 | 汉 |  | 港澳博彩業商人，中國全國政協常務委員。
591 萧红 | 近现代 1911~1942 | 文学 | 黑龙江 | 汉 |  | 中国女作家 (1911-1942)。
592 康生 | 近现代 1898~1975 | 政治 | 山东 | 汉 |  | 中國共產黨和中華人民共和國早期領導人之一。
593 徐志摩 | 近现代 1897~1931 | 文学 | 浙江 | 汉 |  | 中国诗人（1897－1931）。
594 林森 | 近现代 1868~1943 | 政治 | 福建 | 汉 |  | 中國國民政府主席。
595 闻一多 | 近现代 1899~1946 | 文学 | 湖北 | 汉 |  | 中国诗人、学者。
596 冰心 | 近现代 1900~1999 | 文学 | 福建 | 汉 |  | 中国女作家、诗人（1900～1999）。
597 薄书存 | 近现代 1908~2007 | 政治 | 山西 | 汉 |  | 中國政治人物。
598 段义孚 | 近现代 1930~2022 | 文学、思想、科技 | 天津 | 汉 |  | 美籍華人地理學家（1930－2022），人文主义地理学的开创者。
599 贺龙 | 近现代 1896~1969 | 军事、政治 | 湖南 | 土家 |  | 中华人民共和国元帅。
600 韩素音 | 近现代 1917~2012 | 文学、医学 | 河南 | 汉 |  | 近现代时期文学、医学人物。
601 赵元任 | 近现代 1892~1982 | 文学、思想、科技 | 天津 | 汉 |  | 中國現代語言學家、音樂家（1892—1982）。
602 孔祥熙 | 近现代 1881~1967 | 政治 | 山西 | 汉 |  | 中华民国政治人物。
603 黄兴 | 近现代 1874~1916 | 政治 | 湖南 | 汉 |  | 中国近代民主革命家（1874—1916）。
604 杨绛 | 近现代 1911~2016 | 文学、艺术 | 北京 | 汉 |  | 中国作家（1911—2016）。
605 毛岸英 | 近现代 1922~1950 | 军事 | 湖南 | 汉 |  | 毛泽东之子 (1922-1950)。
606 邹文怀 | 近现代 1927~2018 | 艺术 | 香港 | 汉 |  | 近现代时期艺术人物。
607 周作人 | 近现代 1885~1967 | 文学、思想 | 浙江 | 汉 |  | 中国作家（1885—1967）。
608 邓颖超 | 近现代 1904~1992 | 思想、政治 | 广西 | 汉 |  | 中国政治家、革命家，周恩来的夫人。
609 马步芳 | 近现代 1903~1975 | 军事、外交、政治 | 甘肃 | 汉 |  | 中国近代青海军阀（1903—1975）。
610 阎锡山 | 近现代 1883~1960 | 军事、政治 | 山西 | 汉 |  | 中華民國第4任行政院院長、陸軍上將。
611 费孝通 | 近现代 1910~2005 | 文学、思想、政治 | 江苏 | 汉 |  | 中国人类学家、社会学家（1910－2005）。
612 张闻天 | 近现代 1900~1976 | 外交、政治 | 上海 | 汉 |  | 中国共产党中央委员会总书记（1900–1976）。
613 载沣 | 近现代 1883~1951 | 政治 | 北京 | 汉 |  | 清朝宗室及攝政王。
614 彭真 | 近现代 1902~1997 | 政治 | 山西 | 汉 |  | 第六届中华人民共和国全国人民代表大会常务委员会委员长。
615 戴震 | 近现代 1724~1777 | 思想、科技 | 安徽 | 汉 |  | 清代语言学家、思想家。
616 聂耳 | 近现代 1912~1935 | 艺术 | 云南 | 汉 |  | 中国音乐家、作曲家 (1912-1935)。
617 王明 | 近现代 1904~1974 | 政治 | 安徽 | 汉 |  | 中国共产党前期的重要领导之一 (1904-1974)。
618 蔡锷 | 近现代 1882~1916 | 政治 | 湖南 | 汉 |  | 中华民国初年政治家、军事家、云南王军阀、护国大将军。
619 陈伯达 | 近现代 1904~1989 | 文学、政治 | 福建 | 汉 |  | 中国政治人物。
620 万里 | 近现代 1916~2015 | 政治 | 山东 | 汉 |  | 第七届中国全国人大常委会委员长。
621 张勋 | 近现代 1854~1923 | 政治 | 江西 | 汉 |  | 中国政治军事人物。
622 于斌 | 近现代 1901~1978 | 思想 | 黑龙江 | 汉 |  | 中国天主教枢机。
623 何应钦 | 近现代 1890~1987 | 军事、政治 | 贵州 | 汉 |  | 中华民国第3任行政院院长、陆军一级上将 (1890-1987)。
624 傅聪 | 近现代 1934~2020 | 艺术 | 上海 | 汉 |  | 英籍华裔钢琴家。
625 溥杰 | 近现代 1907~1994 | 艺术、政治 | 北京 | 汉 |  | 清朝宗室成员，爱新觉罗·溥仪的弟弟。
626 黄华 | 近现代 1913~2010 | 外交、政治 | 河北 | 汉 |  | 曾任中华人民共和国外交部部长、国务院副总理等职。
627 罗维 | 近现代 1918~1996 | 艺术 | 江苏 | 汉 |  | 近现代时期艺术人物。
628 张大千 | 近现代 1899~1983 | 艺术 | 四川 | 汉 |  | 国画大师以及美食家（1899－1983）。
629 章太炎 | 近现代 1868~1936 | 文学、思想、政治 | 浙江 | 汉 |  | 清末民初思想家 (1868-1936)。
630 贺子珍 | 近现代 1910~1984 | 政治 | 江西 | 汉 |  | 近现代时期政治人物。
631 倪柝声 | 近现代 1903~1972 | 文学 | 广东 | 汉 |  | 近现代时期文学人物。
632 张群 | 近现代 1889~1990 | 外交、政治 | 四川 | 汉 |  | 中华民国政治人物。

── 字段不全被跳过的 top 50 ──
78 旭烈兀 | 缺: 省份 | pob=None occs=可汗|統治者|军事领袖
59 光绪帝 | 缺: 领域 | pob=醇亲王府 occs=國家元首
56 明成祖 | 缺: 领域 | pob=南京市 occs=
53 贵由 | 缺: 领域 | pob=蒙兀國 occs=
49 王莽 | 缺: 领域 | pob=大名县 occs=
49 郑一嫂 | 缺: 领域 | pob=广东省 occs=海盗|娼妓
47 孛儿帖 | 缺: 领域 | pob=肯特省 occs=
47 元顺帝 | 缺: 省份 | pob=元朝 occs=天文学家|畫家|貴族|書法家
46 郑成功 | 缺: 省份 | pob=平戶市 occs=政治人物|反叛者|海盗|武将
46 同治帝 | 缺: 领域 | pob=故宫 occs=
38 刘秀 | 缺: 领域 | pob=枣阳市 occs=
37 唐高宗 | 缺: 领域 | pob=西安市 occs=
37 那海 | 缺: 省份领域 | pob=None occs=拥立国王者
37 阿鲁浑 | 缺: 领域 | pob=蒙古國 occs=
35 曹植 | 缺: 省份 | pob=None occs=诗人|貴族
35 哲别 | 缺: 领域 | pob=蒙古國 occs=弓箭手
34 唐睿宗 | 缺: 领域 | pob=长安 occs=
34 昭慈皇后 | 缺: 省份领域 | pob=None occs=摄政
32 曹叡 | 缺: 省份 | pob=None occs=君主
32 忙哥帖木儿 | 缺: 省份领域 | pob=None occs=
32 南怀仁 | 缺: 省份 | pob=皮特姆 occs=天文学家|數學家|传教士|天主教神学家
30 陈寿 | 缺: 省份 | pob=巴西郡 occs=作家|政治人物|歷史學家
30 周敦颐 | 缺: 省份 | pob=None occs=哲學家
30 忽秃伦 | 缺: 省份 | pob=察合台汗國 occs=軍人|戰士|业余摔跤手
30 霍元甲 | 缺: 领域 | pob=静海区 occs=武術家
29 汉冲帝 | 缺: 省份 | pob=None occs=君主
29 曹奂 | 缺: 省份 | pob=曹魏 occs=君主
29 范晔 | 缺: 省份 | pob=晋朝 occs=政治人物|歷史學家
29 宋孝宗 | 缺: 省份 | pob=秀州 occs=皇帝|诗人|統治者|貴族
29 耶律阿保机 | 缺: 省份领域 | pob=None occs=貴族
29 脱脱 | 缺: 省份 | pob=None occs=可汗
29 元英宗 | 缺: 领域 | pob=元大都 occs=
28 蒙恬 | 缺: 省份 | pob=秦國 occs=武将
28 耶律大石 | 缺: 省份 | pob=None occs=軍人
28 诃额仑 | 缺: 领域 | pob=蒙兀國 occs=皇室配偶
28 海合都 | 缺: 省份领域 | pob=None occs=
28 奇皇后 | 缺: 省份 | pob=高陽市 occs=政治人物
28 钦淑皇后 | 缺: 省份领域 | pob=None occs=可敦
28 卫匡国 | 缺: 省份 | pob=特伦托 occs=作家|歷史學家|传教士|地理學家|制图师
26 伊斯雷尔·爱泼斯坦 | 缺: 省份 | pob=华沙 occs=作家|政治人物|新聞工作者
25 唐文宗 | 缺: 领域 | pob=长安 occs=
25 元天顺帝 | 缺: 省份领域 | pob=None occs=貴族
25 吴淸源 | 缺: 领域 | pob=闽侯县 occs=職業圍棋手
24 司马昭 | 缺: 省份 | pob=中國 occs=政治家
24 合不勒 | 缺: 省份 | pob=None occs=軍人|可汗
24 瞿秋白 | 缺: 省份 | pob=阳湖县 occs=作家|政治人物|译者|新聞工作者|文学评论家
24 龚品梅 | 缺: 领域 | pob=上海市 occs=天主教会主教
23 辛追 | 缺: 省份领域 | pob=None occs=
23 辽景宗 | 缺: 领域 | pob=巴林左旗 occs=貴族
23 拙赤合撒儿 | 缺: 省份 | pob=None occs=軍人
